config_id,cpu_cores,ram_mb,phase,node_count,independent_runs,median_of_run_medians_ms,q1_ms,q3_ms,bootstrap95_low_ms,bootstrap95_high_ms
cpu2_ram2gb,2,2048,cold_webview,1,4,116.893,116.773,118.934,116.772,124.697
cpu2_ram2gb,2,2048,cold_webview,12,4,693.37,497.164,972.185,241.257,1475.919
cpu2_ram2gb,2,2048,cold_webview,25,4,503.118,441.171,1138.311,283.938,3015.284
cpu2_ram2gb,2,2048,cold_webview,50,4,168.596,167.235,172.146,164.91,181.039
cpu2_ram2gb,2,2048,warm_update,1,4,83.04,83.021,83.062,83.007,83.087
cpu2_ram2gb,2,2048,warm_update,12,4,84.396,83.749,85.134,82.882,86.275
cpu2_ram2gb,2,2048,warm_update,25,4,84.311,84.112,85.015,84.096,86.544
cpu2_ram2gb,2,2048,warm_update,50,4,92.54,90.663,95.735,90.519,99.831
cpu2_ram6gb,2,6144,cold_webview,1,4,116.483,116.196,116.773,115.561,117.417
cpu2_ram6gb,2,6144,cold_webview,12,4,1298.445,1110.105,1394.285,721.727,1505.16
cpu2_ram6gb,2,6144,cold_webview,25,4,831.507,686.289,1415.754,252.543,3166.588
cpu2_ram6gb,2,6144,cold_webview,50,4,167.034,164.846,168.706,159.962,172.045
cpu2_ram6gb,2,6144,warm_update,1,4,83.096,83.094,83.104,83.09,83.123
cpu2_ram6gb,2,6144,warm_update,12,4,83.532,83.18,83.784,82.598,84.064
cpu2_ram6gb,2,6144,warm_update,25,4,84.982,84.564,85.139,83.727,85.189
cpu2_ram6gb,2,6144,warm_update,50,4,90.977,90.31,91.236,88.842,91.479
cpu4_ram2gb,4,2048,cold_webview,1,4,116.251,116.066,116.459,116.034,116.559
cpu4_ram2gb,4,2048,cold_webview,12,4,5109.444,4709.722,5111.253,3510.939,5116.301
cpu4_ram2gb,4,2048,cold_webview,25,4,5116.278,5115.369,5116.391,5112.959,5116.413
cpu4_ram2gb,4,2048,cold_webview,50,4,5099.529,4964.111,5099.675,4558.176,5099.794
cpu4_ram2gb,4,2048,warm_update,1,4,83.1,83.068,83.13,83.037,83.154
cpu4_ram2gb,4,2048,warm_update,12,4,82.709,82.614,82.908,82.538,83.294
cpu4_ram2gb,4,2048,warm_update,25,4,82.913,82.806,83.157,82.496,83.883
cpu4_ram2gb,4,2048,warm_update,50,4,83.028,82.851,83.305,82.52,83.936
cpu4_ram6gb,4,6144,cold_webview,1,4,116.304,115.93,116.599,115.415,116.874
cpu4_ram6gb,4,6144,cold_webview,12,4,3661.461,3373.044,4171.427,3093.389,5115.729
cpu4_ram6gb,4,6144,cold_webview,25,4,5116.144,5116.12,5116.277,5116.099,5116.625
cpu4_ram6gb,4,6144,cold_webview,50,4,5099.435,5099.12,5099.52,5098.245,5099.701
cpu4_ram6gb,4,6144,warm_update,1,4,83.114,83.097,83.162,83.086,83.265
cpu4_ram6gb,4,6144,warm_update,12,4,82.809,82.628,82.864,82.219,82.894
cpu4_ram6gb,4,6144,warm_update,25,4,82.905,82.858,82.978,82.84,83.075
cpu4_ram6gb,4,6144,warm_update,50,4,83.183,82.858,86.098,82.309,94.413
