track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.120,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.338,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.126,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.141,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.245,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.144,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.169,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.123,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.157,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.114,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.110,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.164,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.163,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.149,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.228,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.438,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.396,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.820,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,17.272,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.275,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.165,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.151,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.156,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.155,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.337,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.164,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,3.915,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.543,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.517,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.210,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.207,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.204,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.214,true,cached_content_visible,CACHED_BACKEND,,
