track,scenario,state,iteration,duration_ms,success,outcome
graph,status_disclosure,ready,1,99.949,true,visible
graph,status_disclosure,ready,2,90.948,true,visible
graph,status_disclosure,ready,3,87.698,true,visible
graph,status_disclosure,ready,4,82.063,true,visible
graph,status_disclosure,ready,5,83.836,true,visible
graph,status_disclosure,ready,6,81.101,true,visible
graph,status_disclosure,ready,7,84.338,true,visible
graph,status_disclosure,ready,8,78.628,true,visible
graph,status_disclosure,ready,9,87.491,true,visible
graph,status_disclosure,ready,10,77.184,true,visible
graph,status_disclosure,ready,11,89.444,true,visible
graph,status_disclosure,ready,12,79.650,true,visible
graph,status_disclosure,ready,13,79.354,true,visible
graph,status_disclosure,ready,14,89.431,true,visible
graph,status_disclosure,ready,15,78.416,true,visible
graph,status_disclosure,ready,16,81.223,true,visible
graph,status_disclosure,ready,17,82.786,true,visible
graph,status_disclosure,ready,18,85.979,true,visible
graph,status_disclosure,ready,19,80.451,true,visible
graph,status_disclosure,ready,20,83.780,true,visible
graph,status_disclosure,ready,21,87.005,true,visible
graph,status_disclosure,ready,22,83.991,true,visible
graph,status_disclosure,ready,23,82.235,true,visible
graph,status_disclosure,ready,24,80.156,true,visible
graph,status_disclosure,ready,25,80.018,true,visible
graph,status_disclosure,ready,26,85.475,true,visible
graph,status_disclosure,ready,27,79.708,true,visible
graph,status_disclosure,ready,28,84.823,true,visible
graph,status_disclosure,ready,29,79.691,true,visible
graph,status_disclosure,ready,30,86.076,true,visible
graph,status_disclosure,fallback,1,83.054,true,visible
graph,status_disclosure,fallback,2,89.671,true,visible
graph,status_disclosure,fallback,3,82.833,true,visible
graph,status_disclosure,fallback,4,80.352,true,visible
graph,status_disclosure,fallback,5,85.379,true,visible
graph,status_disclosure,fallback,6,79.033,true,visible
graph,status_disclosure,fallback,7,95.516,true,visible
graph,status_disclosure,fallback,8,84.458,true,visible
graph,status_disclosure,fallback,9,92.926,true,visible
graph,status_disclosure,fallback,10,96.955,true,visible
graph,status_disclosure,fallback,11,78.920,true,visible
graph,status_disclosure,fallback,12,81.041,true,visible
graph,status_disclosure,fallback,13,80.758,true,visible
graph,status_disclosure,fallback,14,84.196,true,visible
graph,status_disclosure,fallback,15,83.068,true,visible
graph,status_disclosure,fallback,16,81.058,true,visible
graph,status_disclosure,fallback,17,86.974,true,visible
graph,status_disclosure,fallback,18,97.244,true,visible
graph,status_disclosure,fallback,19,81.117,true,visible
graph,status_disclosure,fallback,20,82.978,true,visible
graph,status_disclosure,fallback,21,87.527,true,visible
graph,status_disclosure,fallback,22,86.452,true,visible
graph,status_disclosure,fallback,23,81.265,true,visible
graph,status_disclosure,fallback,24,75.973,true,visible
graph,status_disclosure,fallback,25,89.840,true,visible
graph,status_disclosure,fallback,26,81.073,true,visible
graph,status_disclosure,fallback,27,78.668,true,visible
graph,status_disclosure,fallback,28,82.566,true,visible
graph,status_disclosure,fallback,29,83.849,true,visible
graph,status_disclosure,fallback,30,82.014,true,visible
graph,status_disclosure,empty,1,66.650,true,visible
graph,status_disclosure,empty,2,66.092,true,visible
graph,status_disclosure,empty,3,66.324,true,visible
graph,status_disclosure,empty,4,66.519,true,visible
graph,status_disclosure,empty,5,66.128,true,visible
graph,status_disclosure,empty,6,66.360,true,visible
graph,status_disclosure,empty,7,66.296,true,visible
graph,status_disclosure,empty,8,66.381,true,visible
graph,status_disclosure,empty,9,66.425,true,visible
graph,status_disclosure,empty,10,66.150,true,visible
graph,status_disclosure,empty,11,66.578,true,visible
graph,status_disclosure,empty,12,66.302,true,visible
graph,status_disclosure,empty,13,66.155,true,visible
graph,status_disclosure,empty,14,66.270,true,visible
graph,status_disclosure,empty,15,66.379,true,visible
graph,status_disclosure,empty,16,66.242,true,visible
graph,status_disclosure,empty,17,66.356,true,visible
graph,status_disclosure,empty,18,66.262,true,visible
graph,status_disclosure,empty,19,66.425,true,visible
graph,status_disclosure,empty,20,66.510,true,visible
graph,status_disclosure,empty,21,66.137,true,visible
graph,status_disclosure,empty,22,66.320,true,visible
graph,status_disclosure,empty,23,69.399,true,visible
graph,status_disclosure,empty,24,63.311,true,visible
graph,status_disclosure,empty,25,66.238,true,visible
graph,status_disclosure,empty,26,66.430,true,visible
graph,status_disclosure,empty,27,66.410,true,visible
graph,status_disclosure,empty,28,66.402,true,visible
graph,status_disclosure,empty,29,66.689,true,visible
graph,status_disclosure,empty,30,66.037,true,visible
