track,scenario,node_count,edge_count,algorithm_status,phase,iteration,duration_ms,success,outcome
graph,render_ready,1,0,READY,cold_webview,1,117.077,true,dom_ready
graph,select_node,1,0,READY,cold_webview,1,32.957,true,callback_received
graph,render_ready,1,0,READY,cold_webview,2,116.714,true,dom_ready
graph,select_node,1,0,READY,cold_webview,2,31.584,true,callback_received
graph,render_ready,1,0,READY,cold_webview,3,116.616,true,dom_ready
graph,select_node,1,0,READY,cold_webview,3,32.338,true,callback_received
graph,render_ready,1,0,READY,cold_webview,4,104.848,true,dom_ready
graph,select_node,1,0,READY,cold_webview,4,27.662,true,callback_received
graph,render_ready,1,0,READY,cold_webview,5,116.018,true,dom_ready
graph,select_node,1,0,READY,cold_webview,5,37.181,true,callback_received
graph,render_ready,1,0,READY,cold_webview,6,111.996,true,dom_ready
graph,select_node,1,0,READY,cold_webview,6,32.127,true,callback_received
graph,render_ready,1,0,READY,cold_webview,7,100.497,true,dom_ready
graph,select_node,1,0,READY,cold_webview,7,36.656,true,callback_received
graph,render_ready,1,0,READY,cold_webview,8,116.926,true,dom_ready
graph,select_node,1,0,READY,cold_webview,8,27.030,true,callback_received
graph,render_ready,1,0,READY,cold_webview,9,116.223,true,dom_ready
graph,select_node,1,0,READY,cold_webview,9,32.929,true,callback_received
graph,render_ready,1,0,READY,cold_webview,10,116.185,true,dom_ready
graph,select_node,1,0,READY,cold_webview,10,32.573,true,callback_received
graph,render_ready,1,0,READY,cold_webview,11,99.790,true,dom_ready
graph,select_node,1,0,READY,cold_webview,11,32.468,true,callback_received
graph,render_ready,1,0,READY,cold_webview,12,133.556,true,dom_ready
graph,select_node,1,0,READY,cold_webview,12,44.676,true,callback_received
graph,render_ready,1,0,READY,cold_webview,13,107.744,true,dom_ready
graph,select_node,1,0,READY,cold_webview,13,38.250,true,callback_received
graph,render_ready,1,0,READY,cold_webview,14,90.935,true,dom_ready
graph,select_node,1,0,READY,cold_webview,14,32.516,true,callback_received
graph,render_ready,1,0,READY,cold_webview,15,132.743,true,dom_ready
graph,select_node,1,0,READY,cold_webview,15,32.692,true,callback_received
graph,render_ready,1,0,READY,cold_webview,16,166.074,true,dom_ready
graph,select_node,1,0,READY,cold_webview,16,32.477,true,callback_received
graph,render_ready,1,0,READY,cold_webview,17,116.498,true,dom_ready
graph,select_node,1,0,READY,cold_webview,17,32.160,true,callback_received
graph,render_ready,1,0,READY,cold_webview,18,99.822,true,dom_ready
graph,select_node,1,0,READY,cold_webview,18,38.035,true,callback_received
graph,render_ready,1,0,READY,cold_webview,19,110.925,true,dom_ready
graph,select_node,1,0,READY,cold_webview,19,32.264,true,callback_received
graph,render_ready,1,0,READY,cold_webview,20,100.070,true,dom_ready
graph,select_node,1,0,READY,cold_webview,20,37.161,true,callback_received
graph,render_ready,1,0,READY,warm_update,1,83.549,true,dom_ready
graph,select_node,1,0,READY,warm_update,1,34.907,true,callback_received
graph,render_ready,1,0,READY,warm_update,2,87.999,true,dom_ready
graph,select_node,1,0,READY,warm_update,2,24.857,true,callback_received
graph,render_ready,1,0,READY,warm_update,3,83.123,true,dom_ready
graph,select_node,1,0,READY,warm_update,3,49.366,true,callback_received
graph,render_ready,1,0,READY,warm_update,4,82.986,true,dom_ready
graph,select_node,1,0,READY,warm_update,4,32.577,true,callback_received
graph,render_ready,1,0,READY,warm_update,5,99.699,true,dom_ready
graph,select_node,1,0,READY,warm_update,5,32.933,true,callback_received
graph,render_ready,1,0,READY,warm_update,6,93.011,true,dom_ready
graph,select_node,1,0,READY,warm_update,6,22.775,true,callback_received
graph,render_ready,1,0,READY,warm_update,7,83.295,true,dom_ready
graph,select_node,1,0,READY,warm_update,7,40.782,true,callback_received
graph,render_ready,1,0,READY,warm_update,8,74.631,true,dom_ready
graph,select_node,1,0,READY,warm_update,8,32.578,true,callback_received
graph,render_ready,1,0,READY,warm_update,9,82.927,true,dom_ready
graph,select_node,1,0,READY,warm_update,9,32.916,true,callback_received
graph,render_ready,1,0,READY,warm_update,10,105.565,true,dom_ready
graph,select_node,1,0,READY,warm_update,10,28.446,true,callback_received
graph,render_ready,1,0,READY,warm_update,11,83.812,true,dom_ready
graph,select_node,1,0,READY,warm_update,11,31.372,true,callback_received
graph,render_ready,1,0,READY,warm_update,12,82.835,true,dom_ready
graph,select_node,1,0,READY,warm_update,12,31.388,true,callback_received
graph,render_ready,1,0,READY,warm_update,13,82.998,true,dom_ready
graph,select_node,1,0,READY,warm_update,13,32.463,true,callback_received
graph,render_ready,1,0,READY,warm_update,14,83.008,true,dom_ready
graph,select_node,1,0,READY,warm_update,14,32.664,true,callback_received
graph,render_ready,1,0,READY,warm_update,15,83.240,true,dom_ready
graph,select_node,1,0,READY,warm_update,15,33.175,true,callback_received
