config_id,block,sequence_position,cpu_cores,ram_mb,controlled_samples,successful_samples,success_rate,functional_tests,measurement_tests,cold_start_p50_ms,cold_start_p95_ms,warm_resume_p50_ms,warm_resume_p95_ms,polling_p50_ms,event_retry_p50_ms,graph_50_cold_p50_ms,graph_50_cold_p95_ms,graph_50_warm_p50_ms,graph_50_warm_p95_ms,graph_50_select_p50_ms,graph_50_select_p95_ms,graph_50_reuse_ratio
cpu2_ram2gb,1,1,2,2048,810,810,1.0,11,4,2265.0,2981.0,148.0,283.0,3001.092,52.397,169.182,4985.61,94.37,5012.312,35.558,53.323,1.793
cpu2_ram6gb,1,2,2,6144,810,810,1.0,11,4,1828.5,2258.0,123.0,199.0,3002.001,51.877,166.474,5148.759,91.479,5034.482,32.851,302.389,1.82
cpu4_ram6gb,1,3,4,6144,810,810,1.0,11,4,964.0,1352.0,135.0,157.0,3001.592,51.415,5099.412,5133.041,83.041,99.526,32.549,36.521,61.408
cpu4_ram2gb,1,4,4,2048,810,810,1.0,11,4,999.0,1327.0,129.5,170.0,3001.689,59.133,5099.794,5126.051,82.962,101.46,32.734,38.727,61.471
cpu2_ram6gb,2,1,2,6144,810,810,1.0,0,4,1789.5,2252.0,120.5,284.0,3001.594,53.224,167.593,5127.4,90.799,4929.451,33.279,55.051,1.846
cpu4_ram2gb,2,2,4,2048,810,810,1.0,0,4,1336.0,1915.0,90.0,148.0,3000.922,53.066,5099.636,5132.71,83.095,99.903,33.031,37.72,61.371
cpu2_ram2gb,2,3,2,2048,810,810,1.0,0,4,2114.5,3096.0,178.5,312.0,3002.274,51.897,181.039,5151.128,90.711,127.257,33.712,80.122,1.996
cpu4_ram6gb,2,4,4,6144,810,810,1.0,0,4,1224.0,1326.0,114.0,199.0,3001.401,52.73,5099.701,5116.791,94.413,112.651,32.536,41.973,54.015
cpu4_ram2gb,3,1,4,2048,810,810,1.0,0,4,1320.5,1739.0,112.5,200.0,3001.649,54.479,4558.176,5115.932,82.52,107.683,33.407,40.228,55.237
cpu4_ram6gb,3,2,4,6144,810,810,1.0,0,4,1242.5,1435.0,115.0,212.0,3001.272,54.514,5098.245,5116.921,83.326,97.84,32.669,37.354,61.184
cpu2_ram6gb,3,3,2,6144,810,810,1.0,0,4,1857.0,2325.0,130.0,232.0,3002.323,51.844,172.045,5134.598,91.155,1017.092,39.008,225.342,1.887
cpu2_ram2gb,3,4,2,2048,810,810,1.0,0,4,2240.5,3046.0,146.5,306.0,3001.986,52.841,168.01,977.528,90.519,1765.697,36.803,416.494,1.856
cpu4_ram6gb,4,1,4,6144,810,810,1.0,0,4,1173.5,1369.0,121.0,206.0,3001.416,55.471,5099.459,5115.733,82.309,99.51,32.306,37.383,61.955
cpu2_ram2gb,4,2,2,2048,810,810,1.0,0,4,2315.5,2694.0,157.5,237.0,3001.27,52.12,164.91,987.468,99.831,3575.269,33.975,54.367,1.652
cpu4_ram2gb,4,3,4,2048,810,810,1.0,0,4,1372.5,1954.0,111.5,201.0,3002.245,52.974,5099.423,5115.662,83.936,101.424,32.427,37.801,60.754
cpu2_ram6gb,4,4,2,6144,810,810,1.0,0,4,1914.5,2489.0,102.5,168.0,3001.338,53.208,159.962,922.667,88.842,116.794,33.832,4966.136,1.801
