track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,final_state,event_ids
event_sync_formal,file_room_queue_write,1,3,4.921,true,three_events_written,,,pending:3,b9e23acd-2b02-495b-811e-e36e7834ae89+8d884982-9329-4d39-9e8d-ac6a39dbcfff+823d7a14-b93a-419a-a660-5a4ff1aa01fb
event_sync_formal,file_room_reopen_pending,1,3,9.048,true,pending_events_restored,,,pending:3,b9e23acd-2b02-495b-811e-e36e7834ae89+8d884982-9329-4d39-9e8d-ac6a39dbcfff+823d7a14-b93a-419a-a660-5a4ff1aa01fb
event_sync_formal,http_503_pending_recovery,1,3,13.561,true,retry_api_503,,,pending:3,b9e23acd-2b02-495b-811e-e36e7834ae89+8d884982-9329-4d39-9e8d-ac6a39dbcfff+823d7a14-b93a-419a-a660-5a4ff1aa01fb
event_sync_formal,live_backend_upload,1,3,49.192,true,synced_3_3_0,3,0,synced:3,b9e23acd-2b02-495b-811e-e36e7834ae89+8d884982-9329-4d39-9e8d-ac6a39dbcfff+823d7a14-b93a-419a-a660-5a4ff1aa01fb
event_sync_formal,live_backend_duplicate_replay,1,3,16.698,true,synced_3_0_3,0,3,synced:3,b9e23acd-2b02-495b-811e-e36e7834ae89+8d884982-9329-4d39-9e8d-ac6a39dbcfff+823d7a14-b93a-419a-a660-5a4ff1aa01fb
event_sync_formal,file_room_queue_write,2,3,4.316,true,three_events_written,,,pending:3,11bba333-1106-462e-9b01-33b759d5a0b5+8154f1b4-b4b1-4782-8259-d929595a3b48+1e3cfdbc-8326-49c5-a517-6ee704efb94f
event_sync_formal,file_room_reopen_pending,2,3,6.685,true,pending_events_restored,,,pending:3,11bba333-1106-462e-9b01-33b759d5a0b5+8154f1b4-b4b1-4782-8259-d929595a3b48+1e3cfdbc-8326-49c5-a517-6ee704efb94f
event_sync_formal,http_503_pending_recovery,2,3,12.266,true,retry_api_503,,,pending:3,11bba333-1106-462e-9b01-33b759d5a0b5+8154f1b4-b4b1-4782-8259-d929595a3b48+1e3cfdbc-8326-49c5-a517-6ee704efb94f
event_sync_formal,live_backend_upload,2,3,19.851,true,synced_3_3_0,3,0,synced:3,11bba333-1106-462e-9b01-33b759d5a0b5+8154f1b4-b4b1-4782-8259-d929595a3b48+1e3cfdbc-8326-49c5-a517-6ee704efb94f
event_sync_formal,live_backend_duplicate_replay,2,3,16.710,true,synced_3_0_3,0,3,synced:3,11bba333-1106-462e-9b01-33b759d5a0b5+8154f1b4-b4b1-4782-8259-d929595a3b48+1e3cfdbc-8326-49c5-a517-6ee704efb94f
event_sync_formal,file_room_queue_write,3,3,3.265,true,three_events_written,,,pending:3,7ec19ccf-5dd1-4f64-980d-7a5d4a82e3d0+ce26759e-dde0-4234-96dc-e0b95cac13df+5b15ebb9-5fa9-4049-8c0f-24b5c25f702b
event_sync_formal,file_room_reopen_pending,3,3,8.545,true,pending_events_restored,,,pending:3,7ec19ccf-5dd1-4f64-980d-7a5d4a82e3d0+ce26759e-dde0-4234-96dc-e0b95cac13df+5b15ebb9-5fa9-4049-8c0f-24b5c25f702b
event_sync_formal,http_503_pending_recovery,3,3,23.196,true,retry_api_503,,,pending:3,7ec19ccf-5dd1-4f64-980d-7a5d4a82e3d0+ce26759e-dde0-4234-96dc-e0b95cac13df+5b15ebb9-5fa9-4049-8c0f-24b5c25f702b
event_sync_formal,live_backend_upload,3,3,28.575,true,synced_3_3_0,3,0,synced:3,7ec19ccf-5dd1-4f64-980d-7a5d4a82e3d0+ce26759e-dde0-4234-96dc-e0b95cac13df+5b15ebb9-5fa9-4049-8c0f-24b5c25f702b
event_sync_formal,live_backend_duplicate_replay,3,3,32.067,true,synced_3_0_3,0,3,synced:3,7ec19ccf-5dd1-4f64-980d-7a5d4a82e3d0+ce26759e-dde0-4234-96dc-e0b95cac13df+5b15ebb9-5fa9-4049-8c0f-24b5c25f702b
event_sync_formal,file_room_queue_write,4,3,7.696,true,three_events_written,,,pending:3,6bbfbe33-144c-4415-b98e-88619c789f54+6ec7604c-df42-4eb9-9522-b1a66ffb28a2+0b3add3f-af92-40b2-ae6a-08bd6da01143
event_sync_formal,file_room_reopen_pending,4,3,6.610,true,pending_events_restored,,,pending:3,6bbfbe33-144c-4415-b98e-88619c789f54+6ec7604c-df42-4eb9-9522-b1a66ffb28a2+0b3add3f-af92-40b2-ae6a-08bd6da01143
event_sync_formal,http_503_pending_recovery,4,3,43.370,true,retry_api_503,,,pending:3,6bbfbe33-144c-4415-b98e-88619c789f54+6ec7604c-df42-4eb9-9522-b1a66ffb28a2+0b3add3f-af92-40b2-ae6a-08bd6da01143
