scope	started_at_utc	completed_at_utc	exit_status	command
build	2026-07-28T20:01:33Z	2026-07-28T20:01:41Z	0	timeout 20m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= ktlintCheck detekt lintDebug testDebugUnitTest :app:assembleDebug :app:assembleDebugAndroidTest :app:assembleBenchmark :benchmark:assembleBenchmark
emulator_start	2026-07-28T20:01:41Z	2026-07-28T20:01:41Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 2 -memory 2048 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:02:29Z	2026-07-28T20:04:53Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:04:53Z	2026-07-28T20:04:53Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-01-cpu2_ram2gb/startup_raw --session-id c7a54180-af91-4bf6-987e-385ad7795e42 --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-01-cpu2_ram2gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:04:53Z	2026-07-28T20:04:54Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:04:54Z	2026-07-28T20:04:54Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:04:54Z	2026-07-28T20:04:54Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:04:54Z	2026-07-28T20:04:54Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:04:54Z	2026-07-28T20:05:04Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId c7a54180-af91-4bf6-987e-385ad7795e42 -e e4GraphNodeOrder 1\,12\,25\,50 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:05:04Z	2026-07-28T20:05:04Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-01-cpu2_ram2gb/graph_device_artifacts/
