metric,config_id,cpu_cores,ram_mb,block_1_session_median_ms,block_2_session_median_ms,mean_of_session_medians_ms,observed_min_ms,observed_max_ms,observed_range_ms
cached_cold_ms,cpu2_ram2gb,2,2048,1425.161,1509.098,1467.13,1425.161,1509.098,83.937
foreground_resume_ms,cpu2_ram2gb,2,2048,89.546,98.372,93.959,89.546,98.372,8.826
graph_new_1_ms,cpu2_ram2gb,2,2048,96.65,111.973,104.311,96.65,111.973,15.323
graph_new_12_ms,cpu2_ram2gb,2,2048,184.126,184.675,184.401,184.126,184.675,0.549
graph_new_25_ms,cpu2_ram2gb,2,2048,179.806,198.734,189.27,179.806,198.734,18.928
graph_new_50_ms,cpu2_ram2gb,2,2048,153.485,189.83,171.658,153.485,189.83,36.345
graph_reused_1_ms,cpu2_ram2gb,2,2048,52.13,52.068,52.099,52.068,52.13,0.062
graph_reused_12_ms,cpu2_ram2gb,2,2048,81.664,72.383,77.023,72.383,81.664,9.281
graph_reused_25_ms,cpu2_ram2gb,2,2048,63.032,87.789,75.41,63.032,87.789,24.757
graph_reused_50_ms,cpu2_ram2gb,2,2048,83.063,82.745,82.904,82.745,83.063,0.318
cached_cold_ms,cpu2_ram6gb,2,6144,1252.198,1366.896,1309.547,1252.198,1366.896,114.698
foreground_resume_ms,cpu2_ram6gb,2,6144,96.02,74.599,85.309,74.599,96.02,21.421
graph_new_1_ms,cpu2_ram6gb,2,6144,112.704,111.151,111.927,111.151,112.704,1.553
graph_new_12_ms,cpu2_ram6gb,2,6144,178.92,187.934,183.427,178.92,187.934,9.014
graph_new_25_ms,cpu2_ram6gb,2,6144,185.006,184.164,184.585,184.164,185.006,0.842
graph_new_50_ms,cpu2_ram6gb,2,6144,187.225,167.078,177.151,167.078,187.225,20.147
graph_reused_1_ms,cpu2_ram6gb,2,6144,53.889,54.138,54.014,53.889,54.138,0.249
graph_reused_12_ms,cpu2_ram6gb,2,6144,56.445,76.355,66.4,56.445,76.355,19.91
graph_reused_25_ms,cpu2_ram6gb,2,6144,71.988,62.519,67.254,62.519,71.988,9.469
graph_reused_50_ms,cpu2_ram6gb,2,6144,96.907,87.855,92.381,87.855,96.907,9.052
cached_cold_ms,cpu4_ram2gb,4,2048,957.408,1105.228,1031.318,957.408,1105.228,147.82
foreground_resume_ms,cpu4_ram2gb,4,2048,65.807,67.554,66.68,65.807,67.554,1.747
graph_new_1_ms,cpu4_ram2gb,4,2048,92.965,94.557,93.761,92.965,94.557,1.592
graph_new_12_ms,cpu4_ram2gb,4,2048,155.659,170.923,163.291,155.659,170.923,15.264
graph_new_25_ms,cpu4_ram2gb,4,2048,178.826,185.317,182.072,178.826,185.317,6.491
graph_new_50_ms,cpu4_ram2gb,4,2048,168.359,165.921,167.14,165.921,168.359,2.438
graph_reused_1_ms,cpu4_ram2gb,4,2048,60.002,50.604,55.303,50.604,60.002,9.398
graph_reused_12_ms,cpu4_ram2gb,4,2048,61.378,53.707,57.543,53.707,61.378,7.671
graph_reused_25_ms,cpu4_ram2gb,4,2048,67.715,84.051,75.883,67.715,84.051,16.336
graph_reused_50_ms,cpu4_ram2gb,4,2048,68.994,69.604,69.299,68.994,69.604,0.61
cached_cold_ms,cpu4_ram6gb,4,6144,840.555,835.711,838.133,835.711,840.555,4.844
foreground_resume_ms,cpu4_ram6gb,4,6144,74.567,69.026,71.796,69.026,74.567,5.541
graph_new_1_ms,cpu4_ram6gb,4,6144,81.249,94.001,87.625,81.249,94.001,12.752
graph_new_12_ms,cpu4_ram6gb,4,6144,183.818,170.096,176.957,170.096,183.818,13.722
graph_new_25_ms,cpu4_ram6gb,4,6144,178.716,189.093,183.904,178.716,189.093,10.377
graph_new_50_ms,cpu4_ram6gb,4,6144,164.003,166.768,165.385,164.003,166.768,2.765
graph_reused_1_ms,cpu4_ram6gb,4,6144,50.328,52.263,51.296,50.328,52.263,1.935
graph_reused_12_ms,cpu4_ram6gb,4,6144,83.151,78.686,80.918,78.686,83.151,4.465
graph_reused_25_ms,cpu4_ram6gb,4,6144,63.695,83.058,73.377,63.695,83.058,19.363
graph_reused_50_ms,cpu4_ram6gb,4,6144,66.675,82.275,74.475,66.675,82.275,15.6
