config_id,cpu_cores,ram_mb,phase,node_count,block_1_session_median_ms,block_2_session_median_ms,median_of_two_ms,observed_min_ms,observed_max_ms,observed_range_ms
cpu2_ram2gb,2,2048,new_webview_instance,1,96.65,111.973,104.311,96.65,111.973,15.323
cpu2_ram2gb,2,2048,new_webview_instance,12,184.126,184.675,184.401,184.126,184.675,0.549
cpu2_ram2gb,2,2048,new_webview_instance,25,179.806,198.734,189.27,179.806,198.734,18.928
cpu2_ram2gb,2,2048,new_webview_instance,50,153.485,189.83,171.658,153.485,189.83,36.345
cpu2_ram2gb,2,2048,reused_webview,1,52.13,52.068,52.099,52.068,52.13,0.062
cpu2_ram2gb,2,2048,reused_webview,12,81.664,72.383,77.023,72.383,81.664,9.281
cpu2_ram2gb,2,2048,reused_webview,25,63.032,87.789,75.41,63.032,87.789,24.757
cpu2_ram2gb,2,2048,reused_webview,50,83.063,82.745,82.904,82.745,83.063,0.318
cpu2_ram6gb,2,6144,new_webview_instance,1,112.704,111.151,111.927,111.151,112.704,1.553
cpu2_ram6gb,2,6144,new_webview_instance,12,178.92,187.934,183.427,178.92,187.934,9.014
cpu2_ram6gb,2,6144,new_webview_instance,25,185.006,184.164,184.585,184.164,185.006,0.842
cpu2_ram6gb,2,6144,new_webview_instance,50,187.225,167.078,177.151,167.078,187.225,20.147
cpu2_ram6gb,2,6144,reused_webview,1,53.889,54.138,54.014,53.889,54.138,0.249
cpu2_ram6gb,2,6144,reused_webview,12,56.445,76.355,66.4,56.445,76.355,19.91
cpu2_ram6gb,2,6144,reused_webview,25,71.988,62.519,67.254,62.519,71.988,9.469
cpu2_ram6gb,2,6144,reused_webview,50,96.907,87.855,92.381,87.855,96.907,9.052
cpu4_ram2gb,4,2048,new_webview_instance,1,92.965,94.557,93.761,92.965,94.557,1.592
cpu4_ram2gb,4,2048,new_webview_instance,12,155.659,170.923,163.291,155.659,170.923,15.264
cpu4_ram2gb,4,2048,new_webview_instance,25,178.826,185.317,182.072,178.826,185.317,6.491
cpu4_ram2gb,4,2048,new_webview_instance,50,168.359,165.921,167.14,165.921,168.359,2.438
cpu4_ram2gb,4,2048,reused_webview,1,60.002,50.604,55.303,50.604,60.002,9.398
cpu4_ram2gb,4,2048,reused_webview,12,61.378,53.707,57.543,53.707,61.378,7.671
cpu4_ram2gb,4,2048,reused_webview,25,67.715,84.051,75.883,67.715,84.051,16.336
cpu4_ram2gb,4,2048,reused_webview,50,68.994,69.604,69.299,68.994,69.604,0.61
cpu4_ram6gb,4,6144,new_webview_instance,1,81.249,94.001,87.625,81.249,94.001,12.752
cpu4_ram6gb,4,6144,new_webview_instance,12,183.818,170.096,176.957,170.096,183.818,13.722
cpu4_ram6gb,4,6144,new_webview_instance,25,178.716,189.093,183.904,178.716,189.093,10.377
cpu4_ram6gb,4,6144,new_webview_instance,50,164.003,166.768,165.385,164.003,166.768,2.765
cpu4_ram6gb,4,6144,reused_webview,1,50.328,52.263,51.296,50.328,52.263,1.935
cpu4_ram6gb,4,6144,reused_webview,12,83.151,78.686,80.918,78.686,83.151,4.465
cpu4_ram6gb,4,6144,reused_webview,25,63.695,83.058,73.377,63.695,83.058,19.363
cpu4_ram6gb,4,6144,reused_webview,50,66.675,82.275,74.475,66.675,82.275,15.6
