metric,block,cpu_at_2g_percent,cpu_at_6g_percent,ram_at_2cpu_percent,ram_at_4cpu_percent,cpu_x_ram_interaction_percent
cached_cold_ms,1,-32.821,-32.874,-12.136,-12.205,-0.078
foreground_resume_ms,1,-26.51,-22.342,7.23,13.312,5.672
graph_new_1_ms,1,-3.813,-27.909,16.61,-12.603,-25.052
graph_new_12_ms,1,-15.461,2.738,-2.827,18.09,21.526
graph_new_25_ms,1,-0.545,-3.4,2.892,-0.062,-2.871
graph_new_50_ms,1,9.691,-12.403,21.983,-2.587,-20.142
graph_reused_1_ms,1,15.101,-6.608,3.374,-16.123,-18.861
graph_reused_12_ms,1,-24.841,47.313,-30.881,35.474,96.002
graph_reused_25_ms,1,7.43,-11.52,14.209,-5.937,-17.639
graph_reused_50_ms,1,-16.938,-31.197,16.667,-3.361,-17.167
cached_cold_ms,2,-26.762,-38.861,-9.423,-24.386,-16.519
foreground_resume_ms,2,-31.328,-7.471,-24.166,2.179,34.741
graph_new_1_ms,2,-15.554,-15.429,-0.734,-0.588,0.147
graph_new_12_ms,2,-7.447,-9.492,1.765,-0.484,-2.21
graph_new_25_ms,2,-6.751,2.676,-7.331,2.038,10.11
graph_new_50_ms,2,-12.595,-0.186,-11.985,0.51,14.198
graph_reused_1_ms,2,-2.812,-3.463,3.976,3.278,-0.671
graph_reused_12_ms,2,-25.802,3.053,5.487,46.51,38.888
graph_reused_25_ms,2,-4.258,32.852,-28.785,-1.181,38.761
graph_reused_50_ms,2,-15.881,-6.351,6.176,18.204,11.329
