track,scenario,session_id,node_order_index,pair_index,node_count,edge_count,phase,render_id,webview_instance_id,duration_ms,dom_node_count,dom_edge_count,tick_count,success,outcome
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,1,50,73,new_webview_instance,4,3,244.577,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,1,50,73,reused_webview,5,3,54.720,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,2,50,73,new_webview_instance,6,4,138.606,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,2,50,73,reused_webview,7,4,97.234,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,3,50,73,new_webview_instance,8,5,184.506,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,3,50,73,reused_webview,9,5,119.510,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,4,50,73,new_webview_instance,10,6,166.768,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,4,50,73,reused_webview,11,6,82.275,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,5,50,73,new_webview_instance,12,7,150.691,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,5,50,73,reused_webview,13,7,75.619,50,73,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,1,25,36,new_webview_instance,16,9,167.430,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,1,25,36,reused_webview,17,9,83.058,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,2,25,36,new_webview_instance,18,10,191.663,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,2,25,36,reused_webview,19,10,67.977,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,3,25,36,new_webview_instance,20,11,175.849,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,3,25,36,reused_webview,21,11,83.981,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,4,25,36,new_webview_instance,22,12,190.752,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,4,25,36,reused_webview,23,12,95.214,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,5,25,36,new_webview_instance,24,13,189.093,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,5,25,36,reused_webview,25,13,47.032,25,36,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,1,12,16,new_webview_instance,28,15,170.096,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,1,12,16,reused_webview,29,15,78.686,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,2,12,16,new_webview_instance,30,16,184.352,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,2,12,16,reused_webview,31,16,53.137,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,3,12,16,new_webview_instance,32,17,167.874,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,3,12,16,reused_webview,33,17,62.896,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,4,12,16,new_webview_instance,34,18,159.309,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,4,12,16,reused_webview,35,18,84.295,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,5,12,16,new_webview_instance,36,19,197.865,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,5,12,16,reused_webview,37,19,84.660,12,16,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,1,1,0,new_webview_instance,40,21,79.153,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,1,1,0,reused_webview,41,21,54.206,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,2,1,0,new_webview_instance,42,22,94.127,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,2,1,0,reused_webview,43,22,52.263,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,3,1,0,new_webview_instance,44,23,112.205,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,3,1,0,reused_webview,45,23,51.733,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,4,1,0,new_webview_instance,46,24,94.001,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,4,1,0,reused_webview,47,24,49.619,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,5,1,0,new_webview_instance,48,25,79.503,1,0,1,true,visual_state_ready
graph,visual_state_ready,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,5,1,0,reused_webview,49,25,52.487,1,0,1,true,visual_state_ready
