record_type,model_id,comparator_model,scenario_family,metric,applicable_n,mean,median,interval_lower,interval_upper
aggregate,recency-only,,all,ndcg_at_k,11,0.916158,1.0,,
aggregate,recency-only,,all,recall_at_k,11,1.0,1.0,,
aggregate,recency-only,,all,reciprocal_rank,11,0.878788,1.0,,
aggregate,recency-only,,stable_positive,ndcg_at_k,1,1.0,1.0,,
aggregate,recency-only,,stable_positive,recall_at_k,1,1.0,1.0,,
aggregate,recency-only,,stable_positive,reciprocal_rank,1,1.0,1.0,,
aggregate,recency-only,,recent_interest_shift,ndcg_at_k,2,0.538867,0.538867,,
aggregate,recency-only,,recent_interest_shift,recall_at_k,2,1.0,1.0,,
aggregate,recency-only,,recent_interest_shift,reciprocal_rank,2,0.333333,0.333333,,
aggregate,recency-only,,exposed_negative,ndcg_at_k,2,1.0,1.0,,
aggregate,recency-only,,exposed_negative,recall_at_k,2,1.0,1.0,,
aggregate,recency-only,,exposed_negative,reciprocal_rank,2,1.0,1.0,,
aggregate,recency-only,,unexposed_skip,ndcg_at_k,1,1.0,1.0,,
aggregate,recency-only,,unexposed_skip,recall_at_k,1,1.0,1.0,,
aggregate,recency-only,,unexposed_skip,reciprocal_rank,1,1.0,1.0,,
aggregate,recency-only,,repeated_same_paper,ndcg_at_k,1,1.0,1.0,,
aggregate,recency-only,,repeated_same_paper,recall_at_k,1,1.0,1.0,,
aggregate,recency-only,,repeated_same_paper,reciprocal_rank,1,1.0,1.0,,
aggregate,recency-only,,contradictory_feedback,ndcg_at_k,1,1.0,1.0,,
aggregate,recency-only,,contradictory_feedback,recall_at_k,1,1.0,1.0,,
aggregate,recency-only,,contradictory_feedback,reciprocal_rank,1,1.0,1.0,,
aggregate,recency-only,,missing_embedding,ndcg_at_k,1,1.0,1.0,,
aggregate,recency-only,,missing_embedding,recall_at_k,1,1.0,1.0,,
aggregate,recency-only,,missing_embedding,reciprocal_rank,1,1.0,1.0,,
aggregate,recency-only,,duplicate_replay,ndcg_at_k,2,1.0,1.0,,
aggregate,recency-only,,duplicate_replay,recall_at_k,2,1.0,1.0,,
aggregate,recency-only,,duplicate_replay,reciprocal_rank,2,1.0,1.0,,
aggregate,explicit-recency,,all,ndcg_at_k,11,0.916158,1.0,,
aggregate,explicit-recency,,all,recall_at_k,11,1.0,1.0,,
aggregate,explicit-recency,,all,reciprocal_rank,11,0.878788,1.0,,
aggregate,explicit-recency,,stable_positive,ndcg_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,stable_positive,recall_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,stable_positive,reciprocal_rank,1,1.0,1.0,,
aggregate,explicit-recency,,recent_interest_shift,ndcg_at_k,2,0.538867,0.538867,,
aggregate,explicit-recency,,recent_interest_shift,recall_at_k,2,1.0,1.0,,
aggregate,explicit-recency,,recent_interest_shift,reciprocal_rank,2,0.333333,0.333333,,
aggregate,explicit-recency,,exposed_negative,ndcg_at_k,2,1.0,1.0,,
aggregate,explicit-recency,,exposed_negative,recall_at_k,2,1.0,1.0,,
aggregate,explicit-recency,,exposed_negative,reciprocal_rank,2,1.0,1.0,,
aggregate,explicit-recency,,unexposed_skip,ndcg_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,unexposed_skip,recall_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,unexposed_skip,reciprocal_rank,1,1.0,1.0,,
aggregate,explicit-recency,,repeated_same_paper,ndcg_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,repeated_same_paper,recall_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,repeated_same_paper,reciprocal_rank,1,1.0,1.0,,
aggregate,explicit-recency,,contradictory_feedback,ndcg_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,contradictory_feedback,recall_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,contradictory_feedback,reciprocal_rank,1,1.0,1.0,,
aggregate,explicit-recency,,missing_embedding,ndcg_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,missing_embedding,recall_at_k,1,1.0,1.0,,
aggregate,explicit-recency,,missing_embedding,reciprocal_rank,1,1.0,1.0,,
aggregate,explicit-recency,,duplicate_replay,ndcg_at_k,2,1.0,1.0,,
aggregate,explicit-recency,,duplicate_replay,recall_at_k,2,1.0,1.0,,
aggregate,explicit-recency,,duplicate_replay,reciprocal_rank,2,1.0,1.0,,
aggregate,behavior-v1,,all,ndcg_at_k,11,0.895396,1.0,,
aggregate,behavior-v1,,all,recall_at_k,11,1.0,1.0,,
aggregate,behavior-v1,,all,reciprocal_rank,11,0.878788,1.0,,
aggregate,behavior-v1,,stable_positive,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,stable_positive,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,stable_positive,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v1,,recent_interest_shift,ndcg_at_k,2,0.670838,0.670838,,
aggregate,behavior-v1,,recent_interest_shift,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v1,,recent_interest_shift,reciprocal_rank,2,0.666667,0.666667,,
aggregate,behavior-v1,,exposed_negative,ndcg_at_k,2,1.0,1.0,,
aggregate,behavior-v1,,exposed_negative,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v1,,exposed_negative,reciprocal_rank,2,1.0,1.0,,
aggregate,behavior-v1,,unexposed_skip,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,unexposed_skip,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,unexposed_skip,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v1,,repeated_same_paper,ndcg_at_k,1,0.507685,0.507685,,
aggregate,behavior-v1,,repeated_same_paper,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,repeated_same_paper,reciprocal_rank,1,0.333333,0.333333,,
aggregate,behavior-v1,,contradictory_feedback,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,contradictory_feedback,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,contradictory_feedback,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v1,,missing_embedding,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,missing_embedding,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v1,,missing_embedding,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v1,,duplicate_replay,ndcg_at_k,2,1.0,1.0,,
aggregate,behavior-v1,,duplicate_replay,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v1,,duplicate_replay,reciprocal_rank,2,1.0,1.0,,
aggregate,behavior-v2,,all,ndcg_at_k,11,0.915691,1.0,,
aggregate,behavior-v2,,all,recall_at_k,11,1.0,1.0,,
aggregate,behavior-v2,,all,reciprocal_rank,11,0.939394,1.0,,
aggregate,behavior-v2,,stable_positive,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,stable_positive,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,stable_positive,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v2,,recent_interest_shift,ndcg_at_k,2,0.670838,0.670838,,
aggregate,behavior-v2,,recent_interest_shift,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v2,,recent_interest_shift,reciprocal_rank,2,0.666667,0.666667,,
aggregate,behavior-v2,,exposed_negative,ndcg_at_k,2,1.0,1.0,,
aggregate,behavior-v2,,exposed_negative,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v2,,exposed_negative,reciprocal_rank,2,1.0,1.0,,
aggregate,behavior-v2,,unexposed_skip,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,unexposed_skip,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,unexposed_skip,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v2,,repeated_same_paper,ndcg_at_k,1,0.730929,0.730929,,
aggregate,behavior-v2,,repeated_same_paper,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,repeated_same_paper,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v2,,contradictory_feedback,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,contradictory_feedback,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,contradictory_feedback,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v2,,missing_embedding,ndcg_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,missing_embedding,recall_at_k,1,1.0,1.0,,
aggregate,behavior-v2,,missing_embedding,reciprocal_rank,1,1.0,1.0,,
aggregate,behavior-v2,,duplicate_replay,ndcg_at_k,2,1.0,1.0,,
aggregate,behavior-v2,,duplicate_replay,recall_at_k,2,1.0,1.0,,
aggregate,behavior-v2,,duplicate_replay,reciprocal_rank,2,1.0,1.0,,
aggregate,v2-single-timescale,,all,ndcg_at_k,11,0.915691,1.0,,
aggregate,v2-single-timescale,,all,recall_at_k,11,1.0,1.0,,
aggregate,v2-single-timescale,,all,reciprocal_rank,11,0.939394,1.0,,
aggregate,v2-single-timescale,,stable_positive,ndcg_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,stable_positive,recall_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,stable_positive,reciprocal_rank,1,1.0,1.0,,
aggregate,v2-single-timescale,,recent_interest_shift,ndcg_at_k,2,0.670838,0.670838,,
aggregate,v2-single-timescale,,recent_interest_shift,recall_at_k,2,1.0,1.0,,
aggregate,v2-single-timescale,,recent_interest_shift,reciprocal_rank,2,0.666667,0.666667,,
aggregate,v2-single-timescale,,exposed_negative,ndcg_at_k,2,1.0,1.0,,
aggregate,v2-single-timescale,,exposed_negative,recall_at_k,2,1.0,1.0,,
aggregate,v2-single-timescale,,exposed_negative,reciprocal_rank,2,1.0,1.0,,
aggregate,v2-single-timescale,,unexposed_skip,ndcg_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,unexposed_skip,recall_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,unexposed_skip,reciprocal_rank,1,1.0,1.0,,
aggregate,v2-single-timescale,,repeated_same_paper,ndcg_at_k,1,0.730929,0.730929,,
aggregate,v2-single-timescale,,repeated_same_paper,recall_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,repeated_same_paper,reciprocal_rank,1,1.0,1.0,,
aggregate,v2-single-timescale,,contradictory_feedback,ndcg_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,contradictory_feedback,recall_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,contradictory_feedback,reciprocal_rank,1,1.0,1.0,,
aggregate,v2-single-timescale,,missing_embedding,ndcg_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,missing_embedding,recall_at_k,1,1.0,1.0,,
aggregate,v2-single-timescale,,missing_embedding,reciprocal_rank,1,1.0,1.0,,
aggregate,v2-single-timescale,,duplicate_replay,ndcg_at_k,2,1.0,1.0,,
aggregate,v2-single-timescale,,duplicate_replay,recall_at_k,2,1.0,1.0,,
aggregate,v2-single-timescale,,duplicate_replay,reciprocal_rank,2,1.0,1.0,,
aggregate,v2-no-saturation,,all,ndcg_at_k,11,0.895396,1.0,,
