track,scenario,iteration,launch_state,total_time_ms,wait_time_ms,success,outcome
startup,cold_process,1,COLD,2406,2429,true,controlled_fixture_activity_visible
startup,warm_task_resume,1,HOT,136,144,true,controlled_fixture_activity_visible
startup,cold_process,2,COLD,5703,5733,true,controlled_fixture_activity_visible
startup,warm_task_resume,2,UNKNOWN (0),,339,true,controlled_fixture_activity_visible
startup,cold_process,3,COLD,1979,1987,true,controlled_fixture_activity_visible
startup,warm_task_resume,3,HOT,111,113,true,controlled_fixture_activity_visible
startup,cold_process,4,COLD,1932,1939,true,controlled_fixture_activity_visible
startup,warm_task_resume,4,UNKNOWN (0),,128,true,controlled_fixture_activity_visible
startup,cold_process,5,COLD,1913,1916,true,controlled_fixture_activity_visible
startup,warm_task_resume,5,UNKNOWN (0),,51,true,controlled_fixture_activity_visible
startup,cold_process,6,COLD,2527,2532,true,controlled_fixture_activity_visible
startup,warm_task_resume,6,UNKNOWN (0),,33,true,controlled_fixture_activity_visible
startup,cold_process,7,COLD,2147,2157,true,controlled_fixture_activity_visible
startup,warm_task_resume,7,HOT,121,226,true,controlled_fixture_activity_visible
startup,cold_process,8,COLD,1443,1450,true,controlled_fixture_activity_visible
startup,warm_task_resume,8,HOT,112,121,true,controlled_fixture_activity_visible
startup,cold_process,9,COLD,2592,2734,true,controlled_fixture_activity_visible
startup,warm_task_resume,9,UNKNOWN (0),,109,true,controlled_fixture_activity_visible
startup,cold_process,10,COLD,1726,1742,true,controlled_fixture_activity_visible
startup,warm_task_resume,10,HOT,101,112,true,controlled_fixture_activity_visible
startup,cold_process,11,COLD,4052,4187,true,controlled_fixture_activity_visible
startup,warm_task_resume,11,UNKNOWN (0),,38,true,controlled_fixture_activity_visible
startup,cold_process,12,COLD,2085,2096,true,controlled_fixture_activity_visible
startup,warm_task_resume,12,HOT,126,160,true,controlled_fixture_activity_visible
startup,cold_process,13,COLD,3136,3204,true,controlled_fixture_activity_visible
startup,warm_task_resume,13,UNKNOWN (0),,21,true,controlled_fixture_activity_visible
startup,cold_process,14,COLD,3263,3288,true,controlled_fixture_activity_visible
startup,warm_task_resume,14,HOT,137,139,true,controlled_fixture_activity_visible
startup,cold_process,15,COLD,3040,3043,true,controlled_fixture_activity_visible
startup,warm_task_resume,15,UNKNOWN (0),,154,true,controlled_fixture_activity_visible
startup,cold_process,16,COLD,3059,3069,true,controlled_fixture_activity_visible
startup,warm_task_resume,16,UNKNOWN (0),,1919,true,controlled_fixture_activity_visible
startup,cold_process,17,COLD,4265,4377,true,controlled_fixture_activity_visible
startup,warm_task_resume,17,UNKNOWN (0),,276,true,controlled_fixture_activity_visible
startup,cold_process,18,COLD,2805,2812,true,controlled_fixture_activity_visible
startup,warm_task_resume,18,UNKNOWN (0),,445,true,controlled_fixture_activity_visible
startup,cold_process,19,COLD,4439,4444,true,controlled_fixture_activity_visible
startup,warm_task_resume,19,HOT,101,108,true,controlled_fixture_activity_visible
startup,cold_process,20,COLD,2855,2862,true,controlled_fixture_activity_visible
startup,warm_task_resume,20,HOT,283,287,true,controlled_fixture_activity_visible
