track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.153,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.293,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.168,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.190,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.200,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.161,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.172,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.127,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.125,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.142,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.116,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.116,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.116,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.133,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.115,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,0.111,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.120,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.116,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.378,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.252,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.224,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.159,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,0.206,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.290,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.203,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.191,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.163,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.165,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.172,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,9,0.163,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,10,0.261,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,11,0.280,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,12,0.219,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,13,0.242,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,14,0.516,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,15,0.249,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,16,0.229,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,17,0.376,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,18,0.228,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,19,0.215,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,20,0.197,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,21,0.205,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,22,0.375,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,23,0.293,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,24,0.243,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,25,0.238,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,26,0.214,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,27,0.226,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,28,0.299,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,29,0.216,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,30,0.240,true,cached_content_visible,CACHED_BACKEND,,
state,cached_offline_disclosure,1,0.210,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,2,0.208,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,3,0.254,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,4,0.222,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,5,0.216,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,6,2.840,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,7,0.379,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,8,0.439,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,9,0.259,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,10,0.228,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,11,0.256,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,12,0.282,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,13,0.164,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,14,0.225,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,15,0.278,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,16,0.217,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,17,0.266,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,18,0.264,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,19,0.268,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,20,0.176,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,21,0.168,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,22,0.215,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,23,0.177,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,24,0.256,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,25,0.178,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,26,0.171,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,27,0.194,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,28,0.185,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,29,0.232,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,30,0.379,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_server_failure_disclosure,1,0.203,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,2,0.212,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,3,0.214,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,4,0.203,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,5,0.198,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,6,0.219,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,7,0.218,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,8,0.320,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,9,0.234,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,10,0.224,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,11,0.263,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,12,0.275,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,13,0.218,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,14,0.246,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,15,0.217,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,16,0.236,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,17,0.245,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,18,0.219,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,19,0.228,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,20,0.278,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,21,0.203,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,22,0.241,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,23,0.215,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,24,0.201,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,25,0.362,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,26,0.233,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,27,0.242,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,28,0.429,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,29,0.282,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,cached_server_failure_disclosure,30,0.298,true,server_failure_disclosed_with_cache,CACHED_BACKEND,,
state,invalid_cache_error,1,0.635,true,contract_error_visible,,,
state,invalid_cache_error,2,0.246,true,contract_error_visible,,,
state,invalid_cache_error,3,0.653,true,contract_error_visible,,,
state,invalid_cache_error,4,0.361,true,contract_error_visible,,,
state,invalid_cache_error,5,0.241,true,contract_error_visible,,,
state,invalid_cache_error,6,0.207,true,contract_error_visible,,,
state,invalid_cache_error,7,0.181,true,contract_error_visible,,,
state,invalid_cache_error,8,0.263,true,contract_error_visible,,,
state,invalid_cache_error,9,0.177,true,contract_error_visible,,,
state,invalid_cache_error,10,0.219,true,contract_error_visible,,,
state,invalid_cache_error,11,0.198,true,contract_error_visible,,,
state,invalid_cache_error,12,0.184,true,contract_error_visible,,,
state,invalid_cache_error,13,0.160,true,contract_error_visible,,,
state,invalid_cache_error,14,0.172,true,contract_error_visible,,,
state,invalid_cache_error,15,0.157,true,contract_error_visible,,,
state,invalid_cache_error,16,0.196,true,contract_error_visible,,,
state,invalid_cache_error,17,0.162,true,contract_error_visible,,,
state,invalid_cache_error,18,0.173,true,contract_error_visible,,,
state,invalid_cache_error,19,0.161,true,contract_error_visible,,,
state,invalid_cache_error,20,0.213,true,contract_error_visible,,,
state,invalid_cache_error,21,0.165,true,contract_error_visible,,,
state,invalid_cache_error,22,0.165,true,contract_error_visible,,,
state,invalid_cache_error,23,0.156,true,contract_error_visible,,,
state,invalid_cache_error,24,0.327,true,contract_error_visible,,,
state,invalid_cache_error,25,0.182,true,contract_error_visible,,,
state,invalid_cache_error,26,0.211,true,contract_error_visible,,,
state,invalid_cache_error,27,0.228,true,contract_error_visible,,,
state,invalid_cache_error,28,0.220,true,contract_error_visible,,,
state,invalid_cache_error,29,0.262,true,contract_error_visible,,,
state,invalid_cache_error,30,0.238,true,contract_error_visible,,,
state,three_stage_job_polling,1,3005.533,true,paper_ready,,3,3
state,three_stage_job_polling,2,3003.863,true,paper_ready,,3,3
state,three_stage_job_polling,3,3011.302,true,paper_ready,,3,3
state,three_stage_job_polling,4,3005.459,true,paper_ready,,3,3
state,three_stage_job_polling,5,3059.843,true,paper_ready,,3,3
state,three_stage_job_polling,6,3001.749,true,paper_ready,,3,3
state,three_stage_job_polling,7,3019.514,true,paper_ready,,3,3
state,three_stage_job_polling,8,3016.954,true,paper_ready,,3,3
state,three_stage_job_polling,9,3003.116,true,paper_ready,,3,3
state,three_stage_job_polling,10,3064.345,true,paper_ready,,3,3
