track,scenario,n,success_count,success_rate,p50_ms,p95_ms,min_ms,max_ms
live_repository,cached_briefing_restore,5,5,1.0,3.404,21.375,2.845,21.375
live_repository,citation_graph,5,5,1.0,34.245,56.799,11.407,56.799
live_repository,free_question_and_sources,5,5,1.0,58.611,80.005,39.108,80.005
live_repository,live_five_paper_briefing,5,5,1.0,93.136,108.949,37.414,108.949
live_repository,open_selected_graph_paper,5,5,1.0,61.787,145.716,39.857,145.716
live_repository,paper_and_summary,5,5,1.0,42.009,67.582,24.926,67.582
live_ui,citation_graph,1,1,1.0,606.304,606.304,606.304,606.304
live_ui,free_question_and_sources,1,1,1.0,887.077,887.077,887.077,887.077
live_ui,open_paper_source,1,1,1.0,187.935,187.935,187.935,187.935
live_ui,open_qa_source,1,1,1.0,408.783,408.783,408.783,408.783
live_ui,open_selected_graph_paper,1,1,1.0,124.338,124.338,124.338,124.338
live_ui,paper_and_summary,1,1,1.0,397.702,397.702,397.702,397.702
live_ui,seed_to_five_paper_briefing,1,1,1.0,4665.729,4665.729,4665.729,4665.729
live_ui,select_graph_neighbor,1,1,1.0,823.502,823.502,823.502,823.502
