track,scenario,n,success_count,success_rate,p50_ms,p95_ms,min_ms,max_ms
live_repository,cached_briefing_restore,5,5,1.0,4.09,21.295,2.742,21.295
live_repository,citation_graph,5,5,1.0,22.585,28.698,19.631,28.698
live_repository,free_question_and_sources,5,5,1.0,177.348,214.394,76.173,214.394
live_repository,live_five_paper_briefing,5,5,1.0,141.299,175.86,75.421,175.86
live_repository,open_selected_graph_paper,5,5,1.0,106.086,109.185,38.016,109.185
live_repository,paper_and_summary,5,5,1.0,36.104,46.039,32.565,46.039
live_ui,citation_graph,1,1,1.0,6780.678,6780.678,6780.678,6780.678
live_ui,free_question_and_sources,1,1,1.0,24289.892,24289.892,24289.892,24289.892
live_ui,open_paper_source,1,1,1.0,3118.316,3118.316,3118.316,3118.316
live_ui,open_qa_source,1,1,1.0,6608.738,6608.738,6608.738,6608.738
live_ui,open_selected_graph_paper,1,1,1.0,1754.232,1754.232,1754.232,1754.232
live_ui,paper_and_summary,1,1,1.0,4520.977,4520.977,4520.977,4520.977
live_ui,seed_to_five_paper_briefing,1,1,1.0,22434.5,22434.5,22434.5,22434.5
live_ui,select_graph_neighbor,1,1,1.0,4732.597,4732.597,4732.597,4732.597
